date,new_cases_BCN,new_cases_GI,new_cases_TAR,new_cases_LLE
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,1
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,1
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,7,0,0,0
2020-02-02,0,0,2,0
2020-02-03,1,0,0,0
2020-02-04,4,0,0,0
2020-02-05,1,0,0,0
2020-02-06,0,0,0,0
2020-02-07,2,0,1,0
2020-02-08,0,0,0,0
2020-02-09,1,0,0,0
2020-02-10,3,0,0,0
2020-02-11,3,0,0,0
2020-02-12,6,0,0,0
2020-02-13,5,0,0,1
2020-02-14,1,0,0,0
2020-02-15,12,0,0,0
2020-02-16,3,0,0,0
2020-02-17,1,0,0,0
2020-02-18,5,0,0,0
2020-02-19,1,0,0,0
2020-02-20,11,0,0,0
2020-02-21,15,1,1,0
2020-02-22,8,1,1,1
2020-02-23,7,1,0,0
2020-02-24,8,1,1,0
2020-02-25,17,3,0,0
2020-02-26,25,0,0,0
2020-02-27,13,1,0,0
2020-02-28,30,3,0,0
2020-02-29,20,0,1,0
2020-03-01,80,3,1,3
2020-03-02,66,3,2,3
2020-03-03,74,7,3,3
2020-03-04,125,11,4,5
2020-03-05,159,8,7,5
2020-03-06,224,17,7,8
2020-03-07,264,15,13,10
2020-03-08,288,12,7,11
2020-03-09,500,38,12,17
2020-03-10,689,44,20,21
2020-03-11,659,30,21,11
2020-03-12,893,51,30,23
2020-03-13,1176,71,39,35
2020-03-14,1131,100,39,34
2020-03-15,1202,83,37,36
2020-03-16,1427,132,63,55
2020-03-17,1311,100,60,44
2020-03-18,1422,98,54,85
2020-03-19,1342,110,56,80
2020-03-20,1615,131,66,70
2020-03-21,1164,107,50,90
2020-03-22,1066,78,55,68
2020-03-23,1234,111,67,82
2020-03-24,1138,98,87,44
2020-03-25,1161,80,51,40
2020-03-26,1149,95,66,49
2020-03-27,1037,102,72,65
2020-03-28,1086,88,66,53
2020-03-29,807,75,50,52
2020-03-30,988,78,63,46
2020-03-31,930,97,63,34
2020-04-01,1061,108,58,48
2020-04-02,864,81,42,47
2020-04-03,977,125,92,40
2020-04-04,798,62,53,39
2020-04-05,698,64,36,35
2020-04-06,654,73,31,45
2020-04-07,600,78,33,37
2020-04-08,823,68,51,35
2020-04-09,847,69,72,58
2020-04-10,846,77,40,41
2020-04-11,935,44,44,34
2020-04-12,522,88,36,35
2020-04-13,482,59,34,22
2020-04-14,612,71,35,28
2020-04-15,598,100,30,38
2020-04-16,564,95,26,16
2020-04-17,455,91,23,23
2020-04-18,338,46,15,7
2020-04-19,226,26,9,9
2020-04-20,307,35,16,13
2020-04-21,168,22,16,14
2020-04-22,265,35,15,8
2020-04-23,225,32,11,15
2020-04-24,215,23,25,12
2020-04-25,147,17,2,18
2020-04-26,127,4,4,6
2020-04-27,106,17,9,3
2020-04-28,146,25,6,9
2020-04-29,125,13,11,4
2020-04-30,167,12,8,3
2020-05-01,149,24,9,7
2020-05-02,124,24,3,7
2020-05-03,124,12,3,2
2020-05-04,108,12,3,14
2020-05-05,56,5,7,7
2020-05-06,44,9,2,4
2020-05-07,62,9,6,7
2020-05-08,65,7,4,6
2020-05-09,46,10,4,4
2020-05-10,63,11,4,10
2020-05-11,125,14,5,12
2020-05-12,103,28,3,21
2020-05-13,154,25,9,15
2020-05-14,120,27,2,13
2020-05-15,182,31,4,21
2020-05-16,87,24,6,20
2020-05-17,72,7,5,18
2020-05-18,155,32,3,30
2020-05-19,186,16,1,29
2020-05-20,154,20,7,21
2020-05-21,190,17,12,23
2020-05-22,258,21,2,13
2020-05-23,94,13,0,20
2020-05-24,102,10,1,28
2020-05-25,174,26,5,39
2020-05-26,178,16,3,20
2020-05-27,119,21,5,19
2020-05-28,170,20,5,24
2020-05-29,149,11,6,28
2020-05-30,70,13,4,13
2020-05-31,36,9,4,14
2020-06-01,49,17,9,28
2020-06-02,81,21,4,24
2020-06-03,92,25,3,22
2020-06-04,94,12,6,25
2020-06-05,123,21,1,40
2020-06-06,48,7,2,15
2020-06-07,38,7,4,14
2020-06-08,93,12,1,26
2020-06-09,81,3,1,9
2020-06-10,107,6,1,27
2020-06-11,91,8,3,18
2020-06-12,93,7,1,20
2020-06-13,25,1,2,17
2020-06-14,29,13,3,11
2020-06-15,60,6,0,32
2020-06-16,62,8,2,19
2020-06-17,66,4,1,34
2020-06-18,68,6,1,35
2020-06-19,64,1,0,34
2020-06-20,52,4,1,37
2020-06-21,38,9,0,36
2020-06-22,67,6,0,52
2020-06-23,89,3,1,42
2020-06-24,40,3,2,55
2020-06-25,84,4,1,62
2020-06-26,111,17,3,83
2020-06-27,45,3,1,81
2020-06-28,52,3,1,56
2020-06-29,98,9,4,82
2020-06-30,88,8,6,94
2020-07-01,157,14,4,126
2020-07-02,119,11,7,111
2020-07-03,141,9,6,122
2020-07-04,115,7,8,135
2020-07-05,128,8,7,111
2020-07-06,207,17,16,161
2020-07-07,227,22,13,179
2020-07-08,239,28,12,207
2020-07-09,250,31,17,211
2020-07-10,366,38,14,237
2020-07-11,209,18,15,172
2020-07-12,236,17,21,196
2020-07-13,444,36,22,226
2020-07-14,432,39,20,195
2020-07-15,550,32,24,283
2020-07-16,530,41,27,220
2020-07-17,675,41,33,227
2020-07-18,425,28,26,289
2020-07-19,405,31,29,148
2020-07-20,737,46,29,248
2020-07-21,722,49,32,207
2020-07-22,753,51,38,205
2020-07-23,774,59,44,144
2020-07-24,823,47,34,139
2020-07-25,468,39,43,100
2020-07-26,424,28,31,100
2020-07-27,841,39,42,106
2020-07-28,811,55,36,151
2020-07-29,856,60,54,120
2020-07-30,819,57,38,112
2020-07-31,931,65,55,111
2020-08-01,556,25,42,104
2020-08-02,378,22,23,58
2020-08-03,752,44,43,91
2020-08-04,825,55,38,98
2020-08-05,855,41,39,71
2020-08-06,778,60,30,80
2020-08-07,978,54,50,76
2020-08-08,579,32,23,65
2020-08-09,420,26,42,46
2020-08-10,872,52,64,101
2020-08-11,782,52,77,83
2020-08-12,846,47,80,87
2020-08-13,840,53,74,49
2020-08-14,899,55,91,89
2020-08-15,577,52,118,62
2020-08-16,503,53,91,69
2020-08-17,850,74,110,117
2020-08-18,911,76,118,95
2020-08-19,840,63,115,79
2020-08-20,975,85,101,93
2020-08-21,922,101,92,127
2020-08-22,601,40,63,61
2020-08-23,518,43,77,65
2020-08-24,984,88,99,129
2020-08-25,915,67,112,68
2020-08-26,982,91,89,105
2020-08-27,952,80,138,58
2020-08-28,935,110,107,69
2020-08-29,485,58,82,44
2020-08-30,449,54,79,31
2020-08-31,892,82,103,58
2020-09-01,975,116,113,53
2020-09-02,848,94,100,58
2020-09-03,884,115,84,55
2020-09-04,952,154,104,57
2020-09-05,566,85,58,46
2020-09-06,441,46,52,33
2020-09-07,787,95,83,45
2020-09-08,821,130,66,58
2020-09-09,797,135,76,45
2020-09-10,892,182,92,61
2020-09-11,535,94,74,32
2020-09-12,549,158,63,45
2020-09-13,438,72,49,52
2020-09-14,845,155,88,59
2020-09-15,983,144,103,63
2020-09-16,1000,142,107,72
2020-09-17,931,77,84,52
2020-09-18,967,168,108,63
2020-09-19,587,97,64,28
2020-09-20,534,78,67,44
2020-09-21,993,160,100,69
2020-09-22,894,142,76,58
2020-09-23,904,131,105,56
2020-09-24,653,113,81,55
2020-09-25,883,120,100,55
2020-09-26,533,79,86,33
2020-09-27,469,62,87,40
2020-09-28,991,144,116,71
2020-09-29,1022,153,166,70
2020-09-30,1018,150,151,61
2020-10-01,1244,175,155,84
2020-10-02,1219,181,229,111
2020-10-03,780,88,102,52
2020-10-04,645,103,110,59
2020-10-05,1394,194,160,122
2020-10-06,1513,247,217,100
2020-10-07,1578,204,213,132
2020-10-08,1937,208,227,136
2020-10-09,2125,297,271,113
2020-10-10,1419,175,173,124
2020-10-11,1065,123,155,114
2020-10-12,1371,225,188,117
2020-10-13,2322,326,229,150
2020-10-14,2524,427,286,183
2020-10-15,2725,416,343,178
2020-10-16,2801,520,401,219
2020-10-17,1951,268,319,139
2020-10-18,1812,250,281,136
2020-10-19,3722,599,416,179
2020-10-20,4112,599,604,249
2020-10-21,3934,656,668,249
2020-10-22,4013,626,570,209
2020-10-23,3887,598,542,230
2020-10-24,2280,417,452,164
2020-10-25,2187,332,372,142
2020-10-26,3753,649,456,197
2020-10-27,3715,647,544,226
2020-10-28,3535,585,520,194
2020-10-29,3158,493,504,230
2020-10-30,3420,626,491,230
2020-10-31,2101,445,431,128
2020-11-01,1998,274,340,159
2020-11-02,3361,534,389,247
2020-11-03,3051,508,457,205
2020-11-04,2670,414,390,202
2020-11-05,2732,432,355,177
2020-11-06,2534,390,365,214
2020-11-07,1519,217,260,175
2020-11-08,1159,203,227,114
2020-11-09,2026,336,283,124
2020-11-10,2071,361,359,244
2020-11-11,1772,267,313,144
2020-11-12,1542,293,204,146
